0,T,0,T/2,0
5.14E+13,2.26E-20,1.02E-17,6.07E-24,5.09E-18
5.15E+13,2.24E-20,1.02E-17,5.93E-24,5.11E-18
5.16E+13,2.22E-20,1.03E-17,5.80E-24,5.13E-18
5.17E+13,2.20E-20,1.03E-17,5.66E-24,5.15E-18
5.18E+13,2.18E-20,1.03E-17,5.54E-24,5.16E-18
5.19E+13,2.16E-20,1.04E-17,5.41E-24,5.18E-18
5.19E+13,2.14E-20,1.04E-17,5.29E-24,5.20E-18
5.20E+13,2.12E-20,1.04E-17,5.16E-24,5.22E-18
5.21E+13,2.10E-20,1.05E-17,5.05E-24,5.24E-18
5.22E+13,2.08E-20,1.05E-17,4.93E-24,5.25E-18
5.23E+13,2.06E-20,1.05E-17,4.82E-24,5.27E-18
5.24E+13,2.04E-20,1.06E-17,4.71E-24,5.29E-18
5.25E+13,2.02E-20,1.06E-17,4.60E-24,5.31E-18
5.26E+13,2.01E-20,1.06E-17,4.50E-24,5.32E-18
5.26E+13,1.99E-20,1.07E-17,4.39E-24,5.34E-18
5.27E+13,1.97E-20,1.07E-17,4.29E-24,5.36E-18
5.28E+13,1.95E-20,1.08E-17,4.19E-24,5.38E-18
5.29E+13,1.94E-20,1.08E-17,4.10E-24,5.40E-18
5.30E+13,1.92E-20,1.08E-17,4.00E-24,5.41E-18
5.31E+13,1.90E-20,1.09E-17,3.91E-24,5.43E-18
5.32E+13,1.88E-20,1.09E-17,3.82E-24,5.45E-18
5.33E+13,1.87E-20,1.09E-17,3.73E-24,5.47E-18
5.34E+13,1.85E-20,1.10E-17,3.65E-24,5.49E-18
5.34E+13,1.83E-20,1.10E-17,3.56E-24,5.50E-18
5.35E+13,1.82E-20,1.10E-17,3.48E-24,5.52E-18
5.36E+13,1.80E-20,1.11E-17,3.40E-24,5.54E-18
5.37E+13,1.78E-20,1.11E-17,3.32E-24,5.56E-18
5.38E+13,1.77E-20,1.12E-17,3.25E-24,5.58E-18
5.39E+13,1.75E-20,1.12E-17,3.17E-24,5.60E-18
5.40E+13,1.73E-20,1.12E-17,3.10E-24,5.61E-18
5.41E+13,1.72E-20,1.13E-17,3.03E-24,5.63E-18
5.41E+13,1.70E-20,1.13E-17,2.96E-24,5.65E-18
5.42E+13,1.69E-20,1.13E-17,2.89E-24,5.67E-18
5.43E+13,1.67E-20,1.14E-17,2.82E-24,5.69E-18
5.44E+13,1.66E-20,1.14E-17,2.76E-24,5.71E-18
5.45E+13,1.64E-20,1.14E-17,2.69E-24,5.72E-18
5.46E+13,1.63E-20,1.15E-17,2.63E-24,5.74E-18
5.47E+13,1.61E-20,1.15E-17,2.57E-24,5.76E-18
5.48E+13,1.60E-20,1.16E-17,2.51E-24,5.78E-18
5.48E+13,1.58E-20,1.16E-17,2.45E-24,5.80E-18
5.49E+13,1.57E-20,1.16E-17,2.40E-24,5.82E-18
5.50E+13,1.55E-20,1.17E-17,2.34E-24,5.84E-18
5.51E+13,1.54E-20,1.17E-17,2.29E-24,5.85E-18
5.52E+13,1.52E-20,1.17E-17,2.24E-24,5.87E-18
5.53E+13,1.51E-20,1.18E-17,2.18E-24,5.89E-18
5.54E+13,1.49E-20,1.18E-17,2.13E-24,5.91E-18
5.55E+13,1.48E-20,1.19E-17,2.08E-24,5.93E-18
5.56E+13,1.47E-20,1.19E-17,2.04E-24,5.95E-18
5.56E+13,1.45E-20,1.19E-17,1.99E-24,5.97E-18
5.57E+13,1.44E-20,1.20E-17,1.94E-24,5.99E-18
5.58E+13,1.43E-20,1.20E-17,1.90E-24,6.01E-18
5.59E+13,1.41E-20,1.20E-17,1.85E-24,6.02E-18
5.60E+13,1.40E-20,1.21E-17,1.81E-24,6.04E-18
5.61E+13,1.39E-20,1.21E-17,1.77E-24,6.06E-18
5.62E+13,1.37E-20,1.22E-17,1.73E-24,6.08E-18
5.63E+13,1.36E-20,1.22E-17,1.69E-24,6.10E-18
5.63E+13,1.35E-20,1.22E-17,1.65E-24,6.12E-18
5.64E+13,1.34E-20,1.23E-17,1.61E-24,6.14E-18
5.65E+13,1.32E-20,1.23E-17,1.57E-24,6.16E-18
5.66E+13,1.31E-20,1.24E-17,1.54E-24,6.18E-18
5.67E+13,1.30E-20,1.24E-17,1.50E-24,6.20E-18
5.68E+13,1.29E-20,1.24E-17,1.46E-24,6.22E-18
5.69E+13,1.27E-20,1.25E-17,1.43E-24,6.24E-18
5.70E+13,1.26E-20,1.25E-17,1.40E-24,6.25E-18
5.71E+13,1.25E-20,1.25E-17,1.36E-24,6.27E-18
5.71E+13,1.24E-20,1.26E-17,1.33E-24,6.29E-18
5.72E+13,1.23E-20,1.26E-17,1.30E-24,6.31E-18
5.73E+13,1.22E-20,1.27E-17,1.27E-24,6.33E-18
5.74E+13,1.20E-20,1.27E-17,1.24E-24,6.35E-18
5.75E+13,1.19E-20,1.27E-17,1.21E-24,6.37E-18
5.76E+13,1.18E-20,1.28E-17,1.18E-24,6.39E-18
5.77E+13,1.17E-20,1.28E-17,1.16E-24,6.41E-18
5.78E+13,1.16E-20,1.29E-17,1.13E-24,6.43E-18
5.78E+13,1.15E-20,1.29E-17,1.10E-24,6.45E-18
5.79E+13,1.14E-20,1.29E-17,1.08E-24,6.47E-18
5.80E+13,1.13E-20,1.30E-17,1.05E-24,6.49E-18
5.81E+13,1.12E-20,1.30E-17,1.03E-24,6.51E-18
5.82E+13,1.11E-20,1.31E-17,1.00E-24,6.53E-18
5.83E+13,1.09E-20,1.31E-17,9.81E-25,6.55E-18
5.84E+13,1.08E-20,1.31E-17,9.58E-25,6.57E-18
5.85E+13,1.07E-20,1.32E-17,9.35E-25,6.59E-18
5.86E+13,1.06E-20,1.32E-17,9.14E-25,6.61E-18
5.86E+13,1.05E-20,1.33E-17,8.92E-25,6.63E-18
5.87E+13,1.04E-20,1.33E-17,8.71E-25,6.65E-18
5.88E+13,1.03E-20,1.33E-17,8.51E-25,6.67E-18
5.89E+13,1.02E-20,1.34E-17,8.31E-25,6.69E-18
5.90E+13,1.01E-20,1.34E-17,8.11E-25,6.71E-18
5.91E+13,1.00E-20,1.35E-17,7.92E-25,6.73E-18
5.92E+13,9.94E-21,1.35E-17,7.74E-25,6.75E-18
5.93E+13,9.85E-21,1.35E-17,7.56E-25,6.77E-18
5.93E+13,9.75E-21,1.36E-17,7.38E-25,6.79E-18
5.94E+13,9.66E-21,1.36E-17,7.21E-25,6.81E-18
5.95E+13,9.57E-21,1.37E-17,7.04E-25,6.83E-18
5.96E+13,9.48E-21,1.37E-17,6.87E-25,6.85E-18
5.97E+13,9.39E-21,1.37E-17,6.71E-25,6.87E-18
5.98E+13,9.29E-21,1.38E-17,6.55E-25,6.89E-18
5.99E+13,9.21E-21,1.38E-17,6.40E-25,6.91E-18
6.00E+13,9.12E-21,1.39E-17,6.25E-25,6.93E-18
6.01E+13,9.03E-21,1.39E-17,6.10E-25,6.95E-18
6.01E+13,8.94E-21,1.39E-17,5.96E-25,6.97E-18
6.02E+13,8.86E-21,1.40E-17,5.82E-25,6.99E-18
6.03E+13,8.77E-21,1.40E-17,5.68E-25,7.01E-18
6.04E+13,8.68E-21,1.41E-17,5.55E-25,7.03E-18
6.05E+13,8.60E-21,1.41E-17,5.42E-25,7.05E-18
6.06E+13,8.52E-21,1.41E-17,5.29E-25,7.07E-18
6.07E+13,8.43E-21,1.42E-17,5.16E-25,7.09E-18
6.08E+13,8.35E-21,1.42E-17,5.04E-25,7.12E-18
6.08E+13,8.27E-21,1.43E-17,4.92E-25,7.14E-18
6.09E+13,8.19E-21,1.43E-17,4.81E-25,7.16E-18
6.10E+13,8.11E-21,1.44E-17,4.69E-25,7.18E-18
6.11E+13,8.03E-21,1.44E-17,4.58E-25,7.20E-18
6.12E+13,7.96E-21,1.44E-17,4.48E-25,7.22E-18
6.13E+13,7.88E-21,1.45E-17,4.37E-25,7.24E-18
6.14E+13,7.80E-21,1.45E-17,4.27E-25,7.26E-18
6.15E+13,7.72E-21,1.46E-17,4.17E-25,7.28E-18
6.16E+13,7.65E-21,1.46E-17,4.07E-25,7.30E-18
6.16E+13,7.57E-21,1.46E-17,3.97E-25,7.32E-18
6.17E+13,7.50E-21,1.47E-17,3.88E-25,7.34E-18
6.18E+13,7.43E-21,1.47E-17,3.79E-25,7.37E-18
6.19E+13,7.36E-21,1.48E-17,3.70E-25,7.39E-18
6.20E+13,7.28E-21,1.48E-17,3.61E-25,7.41E-18
6.21E+13,7.21E-21,1.49E-17,3.52E-25,7.43E-18
6.22E+13,7.14E-21,1.49E-17,3.44E-25,7.45E-18
6.23E+13,7.07E-21,1.49E-17,3.36E-25,7.47E-18
6.23E+13,7.00E-21,1.50E-17,3.28E-25,7.49E-18
6.24E+13,6.93E-21,1.50E-17,3.20E-25,7.51E-18
6.25E+13,6.87E-21,1.51E-17,3.13E-25,7.53E-18
6.26E+13,6.80E-21,1.51E-17,3.05E-25,7.56E-18
6.27E+13,6.73E-21,1.52E-17,2.98E-25,7.58E-18
6.28E+13,6.66E-21,1.52E-17,2.91E-25,7.60E-18
6.29E+13,6.60E-21,1.52E-17,2.84E-25,7.62E-18
6.30E+13,6.53E-21,1.53E-17,2.77E-25,7.64E-18
6.31E+13,6.47E-21,1.53E-17,2.71E-25,7.66E-18
6.31E+13,6.41E-21,1.54E-17,2.64E-25,7.68E-18
6.32E+13,6.34E-21,1.54E-17,2.58E-25,7.71E-18
6.33E+13,6.28E-21,1.55E-17,2.52E-25,7.73E-18
6.34E+13,6.22E-21,1.55E-17,2.46E-25,7.75E-18
6.35E+13,6.16E-21,1.55E-17,2.40E-25,7.77E-18
6.36E+13,6.10E-21,1.56E-17,2.34E-25,7.79E-18
6.37E+13,6.04E-21,1.56E-17,2.29E-25,7.81E-18
6.38E+13,5.98E-21,1.57E-17,2.23E-25,7.83E-18
6.38E+13,5.92E-21,1.57E-17,2.18E-25,7.86E-18
6.39E+13,5.86E-21,1.58E-17,2.13E-25,7.88E-18
6.40E+13,5.80E-21,1.58E-17,2.08E-25,7.90E-18
6.41E+13,5.74E-21,1.58E-17,2.03E-25,7.92E-18
6.42E+13,5.69E-21,1.59E-17,1.98E-25,7.94E-18
6.43E+13,5.63E-21,1.59E-17,1.93E-25,7.97E-18
6.44E+13,5.57E-21,1.60E-17,1.89E-25,7.99E-18
6.45E+13,5.52E-21,1.60E-17,1.84E-25,8.01E-18
6.45E+13,5.46E-21,1.61E-17,1.80E-25,8.03E-18
6.46E+13,5.41E-21,1.61E-17,1.76E-25,8.05E-18
6.47E+13,5.35E-21,1.62E-17,1.71E-25,8.08E-18
6.48E+13,5.30E-21,1.62E-17,1.67E-25,8.10E-18
6.49E+13,5.25E-21,1.62E-17,1.63E-25,8.12E-18
6.50E+13,5.20E-21,1.63E-17,1.59E-25,8.14E-18
6.51E+13,5.14E-21,1.63E-17,1.56E-25,8.16E-18
6.52E+13,5.09E-21,1.64E-17,1.52E-25,8.19E-18
6.53E+13,5.04E-21,1.64E-17,1.48E-25,8.21E-18
6.53E+13,4.99E-21,1.65E-17,1.45E-25,8.23E-18
6.54E+13,4.94E-21,1.65E-17,1.41E-25,8.25E-18
6.55E+13,4.89E-21,1.65E-17,1.38E-25,8.27E-18
6.56E+13,4.84E-21,1.66E-17,1.35E-25,8.30E-18
6.57E+13,4.79E-21,1.66E-17,1.31E-25,8.32E-18
6.58E+13,4.75E-21,1.67E-17,1.28E-25,8.34E-18
6.59E+13,4.70E-21,1.67E-17,1.25E-25,8.36E-18
6.60E+13,4.65E-21,1.68E-17,1.22E-25,8.39E-18
6.60E+13,4.60E-21,1.68E-17,1.19E-25,8.41E-18
6.61E+13,4.56E-21,1.69E-17,1.16E-25,8.43E-18
6.62E+13,4.51E-21,1.69E-17,1.14E-25,8.45E-18
6.63E+13,4.47E-21,1.70E-17,1.11E-25,8.48E-18
6.64E+13,4.42E-21,1.70E-17,1.08E-25,8.50E-18
6.65E+13,4.38E-21,1.70E-17,1.06E-25,8.52E-18
6.66E+13,4.33E-21,1.71E-17,1.03E-25,8.54E-18
6.67E+13,4.29E-21,1.71E-17,1.01E-25,8.57E-18
6.68E+13,4.25E-21,1.72E-17,9.83E-26,8.59E-18
6.68E+13,4.20E-21,1.72E-17,9.59E-26,8.61E-18
6.69E+13,4.16E-21,1.73E-17,9.36E-26,8.63E-18
6.70E+13,4.12E-21,1.73E-17,9.14E-26,8.66E-18
6.71E+13,4.08E-21,1.74E-17,8.92E-26,8.68E-18
6.72E+13,4.04E-21,1.74E-17,8.71E-26,8.70E-18
6.73E+13,4.00E-21,1.75E-17,8.50E-26,8.73E-18
6.74E+13,3.96E-21,1.75E-17,8.29E-26,8.75E-18
6.75E+13,3.92E-21,1.75E-17,8.10E-26,8.77E-18
6.75E+13,3.88E-21,1.76E-17,7.90E-26,8.79E-18
6.76E+13,3.84E-21,1.76E-17,7.71E-26,8.82E-18
6.77E+13,3.80E-21,1.77E-17,7.53E-26,8.84E-18
6.78E+13,3.76E-21,1.77E-17,7.35E-26,8.86E-18
6.79E+13,3.72E-21,1.78E-17,7.17E-26,8.89E-18
6.80E+13,3.68E-21,1.78E-17,7.00E-26,8.91E-18
